cell,name,date,build,no_prefetch,full_clone,post_threads,midx_at_clone,midx_bytes,midx_after_backfill,clone_s,idle_s,backfill_s,total_s,packs_at_usable,packs_final,largest_pack_bytes,payload_at_usable_bytes,payload_final_bytes,commits
A,midx-on,2026-09-06,midx,1,1,8,1,15199728,1,708,0,329,1037,102,133,6827039770,4972576964,12544764334,527402
B,midx-off,2026-09-06,midx,1,1,8,0,0,0,595,0,931,1526,102,133,6827039770,4957376497,12529565449,527406
C,maint-now,2026-09-06,midx,1,1,8,0,0,0,449,0,1424,1873,102,134,6827039770,4957375899,12582833550,527409
D,timer,2026-09-06,midx,1,1,8,0,0,0,338,217,1368,1923,102,135,6827039770,4957386426,12583994996,527414
E,maint-daily,2026-09-06,midx,1,1,8,0,0,1,606,0,1415,2021,102,136,6827039770,4957386886,13359617801,527409
F,repack-first,2026-09-06,midx,1,1,8,0,0,1,330,0,336,666,102,136,6827039770,4957386447,12678979270,527412
