808 bytes=18815219016 alive=1 started=1
813 bytes=18815219016 alive=1 started=1
818 bytes=18815219016 alive=1 started=1
823 bytes=18815219016 alive=1 started=1
828 bytes=18815219016 alive=1 started=1
833 bytes=18815219016 alive=1 started=1
838 bytes=18815219016 alive=1 started=1
843 bytes=18815219016 alive=1 started=1
848 bytes=18815219016 alive=1 started=1
853 bytes=18815219016 alive=1 started=1
859 bytes=18815219016 alive=1 started=1
864 bytes=18815219016 alive=1 started=1
869 bytes=18815219016 alive=1 started=1
874 bytes=18815219016 alive=1 started=1
879 bytes=18815219016 alive=1 started=1
884 bytes=18815219016 alive=1 started=1
889 bytes=18815219016 alive=1 started=1
894 bytes=18815219016 alive=1 started=1
899 bytes=18815219016 alive=1 started=1
904 bytes=18815219016 alive=1 started=1
909 bytes=18815219016 alive=1 started=1
914 bytes=18815219016 alive=1 started=1
919 bytes=18815219016 alive=1 started=1
924 bytes=18815219016 alive=1 started=1
929 bytes=18815219016 alive=1 started=1
934 bytes=19042760008 alive=1 started=1
939 bytes=19406746952 alive=1 started=1
944 bytes=19426730416 alive=1 started=1
949 bytes=19429760952 alive=1 started=1
954 bytes=19433283848 alive=1 started=1
960 bytes=19436237172 alive=1 started=1
965 bytes=12486563585 alive=1 started=1
970 bytes=12486563585 alive=1 started=1
975 bytes=12486566459 alive=1 started=1
980 bytes=12486598317 alive=1 started=1
985 bytes=12486598317 alive=1 started=1
990 bytes=12486598317 alive=1 started=1
995 bytes=12486598317 alive=1 started=1
1000 bytes=12486598317 alive=1 started=1
1005 bytes=12486598317 alive=1 started=1
1010 bytes=12486598317 alive=1 started=1
1015 bytes=12486598317 alive=1 started=1
1020 bytes=12486598317 alive=1 started=1
1025 bytes=12486598317 alive=1 started=1
1030 bytes=12486598317 alive=1 started=1
1035 bytes=12486598317 alive=1 started=1
1040 bytes=12486598317 alive=1 started=1
1045 bytes=12486598317 alive=1 started=1
1050 bytes=12486598317 alive=1 started=1
1055 bytes=12486598317 alive=1 started=1
1060 bytes=12486598317 alive=1 started=1
1066 bytes=12486598317 alive=1 started=1
1071 bytes=12486598317 alive=1 started=1
1076 bytes=12486598317 alive=1 started=1
1081 bytes=12486598317 alive=1 started=1
1086 bytes=12486598317 alive=1 started=1
1091 bytes=12486598317 alive=1 started=1
1096 bytes=12486598317 alive=1 started=1
1101 bytes=12486598317 alive=1 started=1
1106 bytes=12486598317 alive=1 started=1
1111 bytes=12486598317 alive=1 started=1
1116 bytes=12486598317 alive=1 started=1
1121 bytes=12486598317 alive=1 started=1
1126 bytes=12486598317 alive=1 started=1
1131 bytes=12486598317 alive=1 started=1
1136 bytes=12486598317 alive=1 started=1
1141 bytes=12486598317 alive=1 started=1
1146 bytes=12486598317 alive=1 started=1
1151 bytes=12486598317 alive=1 started=1
1156 bytes=12486598317 alive=1 started=1
1161 bytes=12486598317 alive=1 started=1
1166 bytes=12486598317 alive=1 started=1
1172 bytes=12486598317 alive=1 started=1
1177 bytes=12486598317 alive=1 started=1
1182 bytes=12486598317 alive=1 started=1
1187 bytes=12486598317 alive=1 started=1
1192 bytes=12486598317 alive=1 started=1
1197 bytes=12486598317 alive=1 started=1
1202 bytes=12486598317 alive=1 started=1
1207 bytes=12486598317 alive=1 started=1
1212 bytes=12486598317 alive=1 started=1
1217 bytes=12486598317 alive=1 started=1
1222 bytes=12486598317 alive=1 started=1
1227 bytes=12486598317 alive=1 started=1
1232 bytes=12486598317 alive=1 started=1
1237 bytes=12486598317 alive=1 started=1
1242 bytes=12486598317 alive=1 started=1
1247 bytes=12486598317 alive=1 started=1
1252 bytes=12486598317 alive=1 started=1
1257 bytes=12486598317 alive=1 started=1
1262 bytes=12486598317 alive=1 started=1
1267 bytes=12486598317 alive=1 started=1
1272 bytes=12486598317 alive=1 started=1
1278 bytes=12486598317 alive=1 started=1
1283 bytes=12486598317 alive=1 started=1
1288 bytes=12486598317 alive=1 started=1
1293 bytes=12486598317 alive=1 started=1
1298 bytes=12486598317 alive=1 started=1
1303 bytes=12486598317 alive=1 started=1
1308 bytes=12486598317 alive=1 started=1
1313 bytes=12486598317 alive=1 started=1
1318 bytes=12486598317 alive=1 started=1
1323 bytes=12486598317 alive=1 started=1
1328 bytes=12486598317 alive=1 started=1
1333 bytes=12486598317 alive=1 started=1
1338 bytes=12486598317 alive=1 started=1
1343 bytes=12486598317 alive=1 started=1
1348 bytes=12486598317 alive=1 started=1
1353 bytes=12486598317 alive=1 started=1
1358 bytes=12486598317 alive=1 started=1
1363 bytes=12486598317 alive=1 started=1
1368 bytes=12486598317 alive=1 started=1
1373 bytes=12486598317 alive=1 started=1
1378 bytes=12486598317 alive=1 started=1
1383 bytes=12486598317 alive=1 started=1
1389 bytes=12486598317 alive=1 started=1
1394 bytes=12486602066 alive=1 started=1
1399 bytes=12486631633 alive=1 started=1
1404 bytes=12486658599 alive=1 started=1
1409 bytes=12486737111 alive=1 started=1
1414 bytes=12488017354 alive=1 started=1
1419 bytes=12491426776 alive=1 started=1
1424 bytes=12538779398 alive=0 started=1
1429 bytes=12538779398 alive=0 started=1
1434 bytes=12538779398 alive=0 started=1
1439 bytes=12538779398 alive=0 started=1
1444 bytes=12538779398 alive=0 started=1
1449 bytes=12538779398 alive=0 started=1
1454 bytes=12538779398 alive=0 started=1
1459 bytes=12538779398 alive=0 started=1
1464 bytes=12538779398 alive=0 started=1
1469 bytes=12538779398 alive=0 started=1
1474 bytes=12538779398 alive=0 started=1
1480 bytes=12538779398 alive=0 started=1
1485 bytes=12538779398 alive=0 started=1
1490 bytes=12538779398 alive=0 started=1
1495 bytes=12538779398 alive=0 started=1
1500 bytes=12538779398 alive=0 started=1
1505 bytes=12538779398 alive=0 started=1
1510 bytes=12538779398 alive=0 started=1
1515 bytes=12538779398 alive=0 started=1
